n_authors,n_items
3,125369
6,79974
8,48882
5,97064
9,37653
1,65263
2,107538
7,62584
4,116612
15,7925
12,16193
11,20988
17,5143
14,9862
13,12373
10,28922
16,6166
18,4175
21,2621
22,2138
20,3532
19,3519
23,1848
24,1627
25,1476
26,1250
36,522
349,11
577,1
686,3
2924,5
2923,4
2906,6
2896,3
2899,8
2876,4
2887,6
2952,7
2857,11
2822,1
2856,13
41,336
2853,6
1027,11
1030,5
2862,5
2855,6
2916,8
2904,6
2936,9
2932,5
1016,9
1005,6
2938,3
2925,6
2950,4
989,7
969,2
973,9
981,4
986,8
964,1
976,3
951,1
974,4
983,7
985,3
184,14
1013,2
255,5
1035,4
85,42
1026,8
227,9
1008,12
1002,3
1011,5
210,12
624,8
622,12
825,1
856,1
64,105
81,56
90,36
169,11
50,200
2201,10
2200,6
2194,3
2204,5
198,8
2256,1
2249,2
2220,3
2190,4
2198,10
2214,3
2211,11
2156,2
2241,3
2221,4
2225,4
2150,3
2310,7
2133,2
2134,2
244,8
2264,8
2290,6
2328,3
2300,16
2254,1
2228,4
2233,3
2245,3
2229,5
2286,7
2232,7
2237,6
154,13
2267,2
2305,11
2262,11
2240,7
2276,3
2289,4
2317,3
2304,11
2293,10
2303,19
2307,6
2368,1
2296,3
2319,7
2320,1
2343,5
2336,5
2285,14
158,18
129,29
93,48
69,72
344,6
29,981
3040,3
2880,6
2865,7
2872,7
2828,5
2869,7
2866,14
2901,12
2941,10
2931,3
2892,10
167,8
431,9
959,3
251,2
237,3
342,9
39,404
108,18
37,452
97,34
470,3
46,232
2905,9
35,670
559,1
193,15
199,16
2911,4
2893,6
2909,2
27,1165
2890,9
540,2
3030,1
2994,1
2886,9
2830,3
47,208
31,719
92,47
2192,7
2209,6
476,9
2268,6
52,135
303,6
2895,10
213,9
2870,5
2874,12
2877,8
2864,7
1034,3
539,2
195,8
447,6
949,2
928,2
316,1
119,21
618,3
597,6
649,1
631,1
621,6
627,3
671,2
734,10
235,6
772,5
727,6
854,1
28,1040
909,4
62,99
110,24
358,8
482,5
2197,14
2236,5
2284,11
2376,2
390,2
45,297
128,28
109,13
71,75
44,261
101,32
123,30
301,7
104,15
30,1030
728,4
337,5
59,113
163,13
162,12
356,4
475,12
398,5
175,10
49,192
172,13
205,10
159,12
89,23
965,2
975,5
289,25
231,4
995,5
171,19
708,3
766,5
998,3
42,304
149,9
257,8
77,60
348,8
437,9
498,6
207,7
2212,3
157,15
148,9
2147,6
2298,9
937,2
60,129
84,44
132,18
106,25
43,254
138,16
161,9
421,3
126,24
2917,7
2826,4
40,351
51,173
118,23
620,4
632,1
774,4
797,5
76,53
224,7
80,49
345,3
371,7
174,11
147,16
33,552
1135,1
34,542
512,3
569,1
351,9
179,10
192,6
203,12
221,12
72,72
223,7
225,16
103,36
660,12
636,2
702,11
690,2
58,110
411,15
494,4
368,6
364,24
32,781
78,59
56,147
83,42
70,94
2878,4
144,13
870,1
875,1
219,9
73,70
67,93
79,53
401,6
105,34
226,4
181,11
297,2
595,2
736,6
792,3
107,24
436,6
452,6
211,5
91,34
384,6
451,5
53,145
354,9
168,13
410,12
38,439
121,24
115,23
270,4
94,41
65,95
239,13
453,8
140,15
406,4
57,113
66,85
75,64
298,1
187,9
188,10
113,24
654,3
701,9
307,5
242,4
1186,1
485,11
55,122
311,4
48,224
670,1
770,5
236,6
88,57
127,23
407,17
457,2
130,22
370,6
291,2
189,6
200,9
197,11
700,8
777,3
414,5
488,5
86,52
176,12
100,26
246,4
170,13
806,3
810,4
912,3
116,21
363,14
359,8
54,148
385,5
111,23
61,103
587,5
735,7
1099,1
463,4
151,19
102,30
164,16
249,4
377,8
150,15
68,74
282,2
396,5
139,11
366,11
704,14
799,4
145,13
137,12
190,9
352,9
95,48
276,6
87,42
114,26
131,17
63,85
417,4
404,3
416,6
484,4
796,6
418,6
1134,1
386,7
445,4
392,5
125,13
177,15
778,2
1004,5
278,1
367,14
74,68
112,35
415,6
481,7
124,15
355,3
143,11
391,4
134,22
334,4
483,6
99,36
136,22
466,4
233,9
434,10
165,11
336,6
340,7
82,42
201,5
433,2
357,7
1382,1
353,7
120,22
228,16
96,37
248,4
156,12
393,2
234,8
250,3
209,8
3038,1
3025,2
3052,1
2926,6
186,12
2908,3
2852,4
2825,7
1943,1
2882,3
2863,5
2842,2
2840,3
238,11
2939,8
1014,7
2956,3
942,4
947,4
948,3
555,1
972,4
960,5
994,4
98,30
1040,3
315,5
1364,3
1015,3
204,7
699,1
703,6
755,3
836,2
846,7
837,1
135,18
939,1
2273,10
2210,12
2195,1
2206,9
2202,8
2193,6
2224,6
2309,5
2141,4
464,4
2140,4
146,14
2143,5
2257,4
2265,5
426,7
2316,3
2144,4
2297,8
2283,11
2274,8
2263,2
2301,12
2334,3
2308,9
2288,8
5217,1
2299,1
2292,7
2362,2
2364,2
2315,1
2329,2
412,8
222,7
133,18
2860,10
2858,13
2875,8
2843,4
2898,7
2894,6
2961,1
2942,6
977,4
400,2
459,3
480,5
673,4
506,5
2910,2
2889,3
2847,3
2879,8
333,6
2188,1
2247,1
3036,2
216,8
173,10
2928,3
1017,4
1025,9
1010,4
950,2
220,2
2467,1
341,5
918,1
866,1
771,4
2215,5
2132,4
2384,2
2883,9
2845,1
957,3
474,14
2275,6
2900,1
984,4
314,2
706,8
775,5
873,3
420,5
292,3
1149,1
281,5
229,6
243,7
285,1
838,6
908,6
609,4
267,2
160,11
2838,2
290,4
811,4
2196,6
1001,1
722,1
429,3
191,7
455,2
1043,2
362,9
166,11
623,5
329,2
232,3
449,4
674,1
726,6
773,3
907,4
487,1
347,4
402,8
504,2
360,9
847,4
369,10
258,3
793,2
882,1
848,2
619,6
694,2
805,3
768,10
467,3
212,7
625,3
868,3
424,4
309,2
365,19
141,16
536,1
471,1
740,1
919,1
425,2
387,3
312,8
710,4
194,16
361,8
185,10
304,5
430,4
325,2
335,3
310,3
815,1
283,3
122,21
373,7
294,2
320,2
317,4
182,8
152,14
653,3
905,1
321,7
1396,2
306,3
3043,1
2891,6
2867,4
252,3
2861,2
2849,3
2907,4
1018,4
2934,7
2919,4
2851,4
2957,2
1028,5
2953,3
2940,3
971,5
961,1
963,2
993,5
987,3
1031,3
1012,2
496,2
592,7
594,4
707,2
798,4
911,5
379,7
439,3
2243,2
499,4
2208,3
2219,1
2227,4
2183,2
2148,4
2136,2
2142,4
2230,1
2203,7
5154,1
2146,3
2258,9
2326,2
2269,3
2231,8
2306,5
2238,1
2335,2
2287,6
2321,2
2346,2
2302,11
