member,n_items
4194,40
276,8850
2249,469
3726,17
1076,197
3829,4
1965,16014
78,204480
10894,30
286,24764
297,163958
20123,48
301,22211
2209,50
4648,4
292,17061
311,108275
374,20645
50,1716
179,13449
2208,1865
340,16585
329,2086
5856,77
56,8335
257,429
4068,4
4077,6
230,79
229,1
5184,9
5245,1
4387,2
860,40
8699,7
10790,128
1389,5
965,863
2581,408
219,2478
16259,8
12,954
263,12497
150,191
945,379
5183,1
316,28327
4375,2
846,8
8662,12
1387,221
250,9059
1757,647
1968,19348
320,1997
266,15939
10083,4
8857,2
98,4008
189,635
231,415
233,2469
1317,2
6124,8
7284,18
3330,7
408,177
8215,4
3145,9058
2457,2768
6075,10
7244,93
6073,1
221,2660
80,593
7892,1408
239,4722
165,24
13,5063
NA,23
140,2271
155,341
10602,328
127,4186
4858,7
866,5
235,3328
2470,2
18712,29
8860,2
124,93
234,3701
2471,1
73,108
4950,8
20063,5
7257,7
9479,10
1063,1
9499,2
100,163
285,1143
108,94
194,9436
187,28
8611,489
246,599
1798,10
735,83
736,324
16,28291
7294,3
265,575
9223,51
6438,1
970,8
1167,436
317,8311
3197,227
93,942
137,1690
288,479
170,95
6146,6
4687,35
3209,28
5107,1
9236,13
1057,525
2674,66
26169,5
9286,7
4631,1
121,6
530,540
9280,5
200,49
3285,344
5089,1
9266,6
9273,1
4374,1177
2326,6
21863,1
5235,44
8849,35
1881,224
278,1902
4498,39
2322,29
12380,74
23621,1
9460,1
3904,23
6626,1
1602,447
1564,19
20,276
532,28
30,307
6616,5
3882,11
6550,4
23443,8
2017,13
24,1103
10762,28
1149,7
2487,651
81,527
10754,1
10756,1
861,15
6171,16
2595,9
426,83
1212,33
1213,11
21487,2
2926,11
2558,54
358,108
2673,396
2549,178
2920,6
2554,2
21493,8
6846,3
8964,5
109,193
4034,23
2084,12
223,2
2086,1098
6872,5
8959,18
3210,14
3151,14
914,8
8469,7
24700,14
3948,16
9021,16
3150,5
3176,27
4859,3
4570,6
9385,2
1010,507
1574,61
17149,109
345,1026
4226,18
15,1554
7437,1771
341,3148
19395,17
27626,6
1936,6
1942,45
381,83
1944,3
11437,228
4418,9
9019,3
5968,6
2060,245
2895,24
416,371
10394,9
10,821
2321,36
3456,18
2901,22
23082,61
10930,2
291,601
9895,14
5462,16
382,51
5465,3
11752,11
378,148
5452,68
175,2122
21052,12
5433,10
17074,7
1745,51
5043,1
1739,5
5675,140
16744,5
16648,6
2432,420
412,28
33,1049
1665,161
10859,3
1320,34
19526,25
1987,24
10858,15
10851,4
18616,13
1913,44
4365,118
2643,66
6221,6
18618,5
4421,35
2954,7
2560,317
2638,8
2632,19
5793,29
181,63
6672,6
36,123
5768,1
10164,31
232,439
4492,10
6900,17
77,1498
2914,19
5581,6
1049,56
67,369
7696,25
8852,20
7717,25
5542,2
3180,3
8586,2
1355,12
27,1025
7815,25
5552,5
18401,6
5555,1
9411,20
1086,1026
3554,53
3595,89
3,45
2918,49
2273,23
163,5
22795,2
22613,4
22877,5
23032,5
8421,11
4947,179
8127,1
23785,15
3979,57
3666,1
3656,36
349,17
8418,1
9300,3
1822,52
9508,29
4505,35
6206,10
6179,5
6250,7
5777,148
9415,9
425,276
5195,19
5784,27
5855,41
2863,29
635,29
5355,6
1154,2
5403,1
5830,12
9336,387
9346,112
2397,14
2436,14
5351,14
5334,10
2427,7
2428,6
17807,14
5307,6
18222,3
16603,37
18012,5
5273,6
1941,101
7149,87
79,982
1856,444
5267,1455
5328,2
5262,11
5264,5
8908,13
1858,18
4874,11
138,16
17418,17
2482,15
2248,4
24934,14
5288,3
3683,8
3691,37
1015,16
3433,144
3570,4
4818,5
4832,3
17,50
1150,13
22796,25
18083,3
3689,42
3722,3
3097,6
1214,23
8100,5
7322,2
2731,20
186,149
1577,134
2262,99
908,2
909,4
2258,676
7132,2
8044,33
3361,52
3352,2
575,32
16089,221
3542,6
10825,2
3614,19
1747,413
10137,8
5325,2
4443,522
630,1
5401,8
237,1384
2216,26
9999,1
101,2343
16314,7
2222,6
9980,7
10022,1
2902,462
2774,139
432,58
1754,225
1696,57
16071,2
2840,1
2782,5
26037,2
10019,4
2856,1
434,30
10665,4
3819,23
11423,9
2905,1
4690,1
8859,85
9705,1
4721,5
3905,1
1243,70
3908,62
12144,18
12114,7
12109,3
9140,5
3111,34
3146,21
1931,73
3269,2
22,532
8257,7
3109,1
8231,1
147,449
14,804
23092,3
332,29
11,115
2641,159
8900,7
9060,19
8159,2
2013,9
8907,141
8901,1
895,1
37,908
5187,2
417,63
6096,29
330,24
6082,6
1604,32
2986,3
9563,1
6890,15
10966,6
19,348
27064,15
2367,6
7491,12
28352,2
3053,3
3842,1
19235,48
3061,119
790,183
17910,1
20188,12
7412,8
7465,5
9027,1
21576,27
10279,10
4211,19
437,4
23846,3
8209,1
10270,2
1627,160
28906,24
10298,4
8158,3
6225,13
393,1148
1592,2
859,54
4713,3
1899,8
3478,4
613,272
19614,3
8026,3
13136,8
16261,20
281,529
16240,2
