article_pubyear,member,n_items
2015,12089,2
2014,1,2
2013,286,2475
2014,286,2141
2015,286,2109
2017,286,2532
2012,374,1905
2013,374,1923
2020,1243,5
2014,1243,7
2016,1243,8
2019,1243,7
2020,1245,1
2013,78,20273
2014,78,21385
2012,286,2039
2016,286,2141
2015,93,82
2018,286,3839
2012,297,14869
2019,301,3508
2014,301,1584
2020,301,3543
2016,301,2556
2017,301,3328
2018,301,3170
2015,3908,17
2016,3908,12
2017,7892,353
2015,7892,237
2014,7892,101
2016,7892,370
2013,7892,25
2013,301,1440
2015,301,1762
2012,301,1320
2018,316,3455
2019,316,3627
2020,316,3655
2016,316,3052
2017,316,3288
2015,316,2972
2016,263,1343
2017,263,1381
2018,263,1582
2019,263,1654
2020,263,1912
2018,239,398
2019,239,468
2020,239,653
2012,239,393
2013,239,706
2015,239,493
2014,239,598
2016,239,623
2017,239,390
2016,93,73
2017,78,23925
2018,78,24132
2019,78,24257
2020,78,24879
2012,78,18844
2015,78,22926
2016,78,23866
2018,93,69
2019,93,86
2018,297,19435
2019,297,20227
2017,297,19310
2014,311,11193
2012,311,11254
2013,311,10699
2015,311,10989
2014,140,166
2013,140,186
2016,311,12140
2015,140,233
2016,140,241
2017,140,294
2012,93,111
2013,93,153
2014,93,195
2013,297,15718
2014,297,16663
2015,297,17273
2016,297,18481
2020,297,21983
2013,179,1333
2015,179,1293
2016,179,1668
2012,179,1292
2014,179,1228
2018,179,1594
2019,179,1684
2017,179,1510
2020,179,1847
2019,286,3611
2020,286,3883
2017,1243,7
2020,140,278
2019,140,357
2018,140,336
2020,93,101
2017,311,11778
2018,311,12645
2014,320,189
2015,320,244
2016,320,209
2020,1968,7799
2012,3145,804
2016,3145,1090
2013,3145,905
2020,311,14696
2019,311,12881
2018,12144,4
2020,12144,7
2019,12144,7
2017,93,72
2012,56,977
2017,56,1021
2019,56,809
2013,56,893
2015,56,894
2018,56,1020
2014,56,954
2020,56,810
2016,56,957
2015,1968,784
2016,1968,1042
2017,1968,1474
2018,1968,2774
2019,1968,4372
2017,3145,996
2018,3145,1102
2012,12114,4
2020,12114,1
2020,9140,5
2012,266,2089
2017,67,35
2013,67,56
2013,2674,22
2014,2674,15
2020,2641,17
2015,2674,9
2020,18689,1
2015,2581,71
2013,2581,35
2014,2581,48
2016,2581,51
2018,50,197
2012,50,114
2014,50,171
2019,50,225
2020,50,246
2016,50,212
2017,50,216
2013,50,181
2015,67,60
2016,67,45
2015,613,24
2014,613,24
2017,613,26
2018,613,28
2020,613,29
2012,613,43
2013,613,35
2016,613,30
2012,194,903
2013,194,1014
2014,194,922
2015,194,1023
2018,2641,17
2019,2641,17
2013,2641,20
2015,2641,20
2016,2641,15
2014,2641,19
2017,2641,14
2013,24,116
2020,24,109
2018,24,98
2016,24,140
2017,24,131
2015,24,135
2012,24,141
2017,1965,1895
2013,1086,76
2014,1086,111
2015,1086,116
2017,1086,124
2018,1086,120
2019,1086,114
2020,1086,150
2012,1086,81
2016,1086,134
2013,137,205
2015,137,169
2014,137,189
2015,8026,1
2017,8026,2
2017,266,1978
2018,266,1384
2016,266,1954
2019,137,174
2020,137,155
2015,266,1985
2015,340,2100
2018,1965,2642
2019,1965,2897
2020,1965,3400
2020,13136,4
2015,50,154
2012,2643,7
2014,2643,11
2016,2643,6
2018,2643,12
2019,2643,9
2017,137,194
2012,3746,2
2015,3968,1
2020,4285,11
2018,11812,7
2016,11812,2
2017,10,94
2012,2208,542
2014,1078,24
2013,6057,1
2012,11345,2
2014,374,1744
2015,374,2096
2016,374,2586
2017,374,2681
2018,374,2670
2019,374,2638
2020,374,2402
2014,263,1202
2015,263,1300
2012,263,1048
2013,263,1075
2013,3757,3
2018,3757,2
2019,4285,7
2018,22,68
2012,22,48
2017,22,50
2016,22,67
2019,22,76
2014,22,50
2020,22,64
2013,22,49
2015,22,60
2015,250,900
2016,250,977
2013,250,939
2012,250,755
2014,250,910
2017,250,1021
2019,10,141
2015,10,74
2016,10,90
2018,10,77
2020,10,155
2014,10,74
2017,292,1860
2016,1080,1
2013,80,80
2016,80,44
2017,80,41
2018,80,55
2015,6057,2
2018,5959,3
2012,80,63
2014,80,53
2015,80,56
2019,80,96
