article_pubyear,deal_first_author,deal_last_author,n_items
2018,0,0,26528
2015,0,1,10847
2020,1,1,60332
2018,1,1,55840
2016,1,1,54056
2017,1,0,11300
2019,1,1,56553
2020,0,0,32276
2015,1,0,10452
2014,1,0,10462
2013,0,1,10448
2020,1,0,13578
2019,1,0,12236
2015,1,1,51210
2017,1,1,54730
2018,0,1,12355
2019,0,0,28382
2019,0,1,13300
2017,0,0,23881
2020,0,1,14344
2013,1,1,46656
2014,0,1,10530
2014,0,0,19449
2014,1,1,49511
2015,0,0,21060
2016,0,1,11366
2016,0,0,22705
2013,0,0,18337
2012,0,0,16802
2017,0,1,11950
2012,1,1,45448
2016,1,0,10989
2013,1,0,11228
2012,0,1,9895
2012,1,0,11107
2018,1,0,12070
