article_pubyear,publisher,institution_name,n_items
2017,Elsevier,University of Freiburg,295
2016,Non-Elsevier,TU Dresden,1201
2016,Non-Elsevier,Philipp University of Marburg,631
2013,Elsevier,Leipzig University,256
2013,Non-Elsevier,Technical University of Munich,1369
2019,Non-Elsevier,Max Planck Institute for Chemistry,76
2015,Non-Elsevier,University of Bonn,849
2020,Elsevier,RWTH Aachen University,678
2019,Non-Elsevier,Otto-von-Guericke University Magdeburg,495
2013,Elsevier,Max Planck Institute for Molecular Biomedicine,11
2016,Non-Elsevier,Max Planck Institute for Nuclear Physics,63
2017,Non-Elsevier,German Rheumatism Research Centre,45
2020,Non-Elsevier,Heidelberg University,1512
2017,Non-Elsevier,Max Planck Institute for Solar System Research,42
2014,Non-Elsevier,University of Bonn,930
2017,Non-Elsevier,University of Bonn,951
2016,Elsevier,Saarland University,202
2016,Non-Elsevier,Johannes Gutenberg University of Mainz,826
2019,Non-Elsevier,University of Ulm,664
2020,Elsevier,University of Hannover,217
2013,Non-Elsevier,University of Ulm,563
2016,Non-Elsevier,University of Ulm,652
2018,Non-Elsevier,University of Göttingen,832
2013,Elsevier,University of Bonn,290
2014,Elsevier,Max Planck Institute for Chemical Energy Conversion,6
2012,Non-Elsevier,University of Erlangen-Nuremberg,972
2017,Non-Elsevier,Goethe University Frankfurt,939
2012,Elsevier,Hannover Medical School,218
2016,Non-Elsevier,Max Planck Institute for Molecular Genetics,56
2018,Elsevier,Heidelberg University,319
2018,Elsevier,Humboldt University of Berlin,284
2018,Non-Elsevier,University of Regensburg,553
2016,Non-Elsevier,University of Giessen,629
2013,Elsevier,University of Tübingen,303
2019,Non-Elsevier,Fraunhofer Institute for Applied Optics and Precision Engineering,14
2019,Elsevier,Leibniz Institute for Baltic Sea Research,23
2020,Non-Elsevier,University of Bonn,875
2014,Non-Elsevier,University of Lübeck,233
2019,Non-Elsevier,TU Dortmund University,418
2020,Non-Elsevier,TU Darmstadt,767
2015,Non-Elsevier,Max Planck Institute for Polymer Research,139
2015,Non-Elsevier,Charité - University Medicine Berlin,1462
2018,Non-Elsevier,University of Rostock,395
2014,Non-Elsevier,TU Dresden,1158
2017,Elsevier,TU Dresden,463
2018,Elsevier,University of Hannover,228
2020,Elsevier,Philipp University of Marburg,161
2020,Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,66
2020,Non-Elsevier,Robert Koch Institute,174
2017,Non-Elsevier,Technical University of Munich,2071
2016,Elsevier,Goethe University Frankfurt,259
2018,Non-Elsevier,Saarland University,476
2019,Elsevier,University Medical Center Hamburg-Eppendorf,219
2020,Non-Elsevier,University of Mannheim,176
2017,Non-Elsevier,Hamburg University of Technology,145
2013,Non-Elsevier,University of Kassel,134
2017,Elsevier,University of Wuppertal,55
2017,Non-Elsevier,Charité - University Medicine Berlin,1445
2017,Non-Elsevier,Max Planck Institute for Mathematics in the Sciences,35
2012,Elsevier,Technical University of Munich,454
2014,Non-Elsevier,Heidelberg University,1166
2020,Non-Elsevier,University of Erlangen-Nuremberg,1524
2019,Non-Elsevier,University of Lübeck,330
2012,Non-Elsevier,University of Freiburg,608
2018,Non-Elsevier,University of Siegen,213
2018,Non-Elsevier,Goethe University Frankfurt,1017
2018,Non-Elsevier,University Medical Center Hamburg-Eppendorf,989
2016,Non-Elsevier,University of Münster,894
2018,Non-Elsevier,University of Freiburg,1070
2013,Elsevier,Hannover Medical School,215
2016,Non-Elsevier,Leipzig University,820
2016,Non-Elsevier,Karlsruhe Institute of Technology,1041
2020,Non-Elsevier,Clausthal University of Technology,110
2017,Non-Elsevier,Carl von Ossietzky University of Oldenburg,383
2018,Non-Elsevier,Helmholtz Centre for Environmental Research,227
2018,Non-Elsevier,University of Würzburg,712
2012,Non-Elsevier,Max Planck Institute for Mathematics in the Sciences,52
2013,Non-Elsevier,University of Stuttgart,457
2020,Non-Elsevier,Hamburg University of Technology,177
2015,Non-Elsevier,University of Hannover,468
2013,Non-Elsevier,Max Planck Institute for Radio Astronomy,58
2020,Non-Elsevier,Technical University of Berlin,803
2017,Elsevier,University of Göttingen,216
2019,Elsevier,University of Trier,46
2012,Elsevier,German Sport University Cologne,23
2017,Non-Elsevier,University of Tübingen,1054
2013,Non-Elsevier,TU Dresden,1034
2019,Non-Elsevier,TU Dresden,1487
2015,Non-Elsevier,GSI Helmholtz Centre for Heavy Ion Research,156
2018,Non-Elsevier,Technical University of Berlin,662
2020,Non-Elsevier,University of Augsburg,244
2019,Non-Elsevier,University of Würzburg,751
2017,Non-Elsevier,Kiel University,689
2014,Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,70
2017,Non-Elsevier,Forschungszentrum Jülich,575
2014,Non-Elsevier,Universität Hamburg,613
2015,Non-Elsevier,University of Göttingen,826
2019,Non-Elsevier,University of Freiburg,1112
2016,Non-Elsevier,University of Göttingen,878
2014,Non-Elsevier,Max Planck Institute of Colloids and Interfaces,74
2020,Elsevier,Technical University of Munich,725
2014,Non-Elsevier,Max Planck Institute for the Study of Societies,9
2012,Elsevier,Ruhr University Bochum,247
2020,Non-Elsevier,Carl von Ossietzky University of Oldenburg,438
2012,Non-Elsevier,Federal Institute For Materials Research and Testing,145
2017,Non-Elsevier,Leuphana University of Lüneburg,119
2016,Non-Elsevier,Saarland University,510
2012,Non-Elsevier,University of Ulm,546
2017,Elsevier,University of Bremen,183
2016,Elsevier,University of Hannover,207
2018,Elsevier,University Medical Center Hamburg-Eppendorf,244
2019,Elsevier,University of Wuppertal,74
2019,Elsevier,TU Dortmund University,170
2019,Non-Elsevier,University of Stuttgart,691
2016,Elsevier,Technical University of Berlin,298
2018,Non-Elsevier,Humboldt University of Berlin,999
2012,Non-Elsevier,University of Bremen,300
2017,Non-Elsevier,Max Planck Institute for Polymer Research,125
2019,Elsevier,Leipzig University,242
2018,Elsevier,RWTH Aachen University,624
2019,Non-Elsevier,University of Augsburg,221
2016,Non-Elsevier,University of Hohenheim,273
2018,Non-Elsevier,Technische Universität Braunschweig,400
2016,Elsevier,German Aerospace Center,152
2016,Elsevier,Freie Universität Berlin,290
2012,Non-Elsevier,University of Würzburg,776
2019,Non-Elsevier,Technical University of Munich,2206
2019,Non-Elsevier,Saarland University,505
2012,Elsevier,University of Erlangen-Nuremberg,347
2020,Non-Elsevier,University of Giessen,823
2018,Elsevier,University of Würzburg,148
2016,Non-Elsevier,University of Bayreuth,366
2014,Non-Elsevier,Saarland University,435
2014,Non-Elsevier,Freie Universität Berlin,673
2015,Elsevier,University of Regensburg,136
2018,Non-Elsevier,TU Dortmund University,443
2012,Non-Elsevier,University of Greifswald,329
2018,Non-Elsevier,Heidelberg University,1275
2017,Non-Elsevier,Ruhr University Bochum,862
2016,Non-Elsevier,University of Siegen,159
2020,Non-Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,278
2017,Non-Elsevier,"University of Veterinary Medicine Hannover, Foundation",160
2013,Non-Elsevier,Ruhr University Bochum,698
2015,Non-Elsevier,Johannes Gutenberg University of Mainz,661
2017,Non-Elsevier,RWTH Aachen University,1181
2020,Non-Elsevier,Johannes Gutenberg University of Mainz,902
2014,Elsevier,University of Göttingen,231
2016,Non-Elsevier,University of Mannheim,180
2015,Non-Elsevier,TU Dortmund University,329
2017,Non-Elsevier,Otto-von-Guericke University Magdeburg,419
2016,Non-Elsevier,Helmholtz Centre for Environmental Research,221
2018,Elsevier,Hamburg University of Technology,108
2017,Non-Elsevier,Karlsruhe Institute of Technology,1076
2017,Non-Elsevier,University Medical Center Hamburg-Eppendorf,881
2020,Non-Elsevier,TU Dresden,1644
2015,Elsevier,TU Darmstadt,220
2016,Non-Elsevier,University of Wuppertal,139
2019,Non-Elsevier,Forschungszentrum Jülich,614
2020,Non-Elsevier,University of Konstanz,408
2012,Non-Elsevier,Universität Hamburg,504
2013,Non-Elsevier,University Medical Center Hamburg-Eppendorf,688
2014,Non-Elsevier,Leibniz Institute for Solid State and Materials Research,123
2015,Non-Elsevier,University of Lübeck,311
2017,Elsevier,Carl von Ossietzky University of Oldenburg,112
2017,Non-Elsevier,Leipzig University,950
2013,Non-Elsevier,Centre For European Economic Research,11
2015,Non-Elsevier,Kiel University,577
2014,Non-Elsevier,University of Erlangen-Nuremberg,1142
2015,Elsevier,University of Tübingen,281
2019,Non-Elsevier,University of Hagen,71
2019,Elsevier,TU Dresden,423
2013,Non-Elsevier,Freie Universität Berlin,658
2016,Non-Elsevier,Heidelberg University,1167
2018,Non-Elsevier,Hannover Medical School,779
2015,Non-Elsevier,TU Darmstadt,550
2014,Non-Elsevier,University of Würzburg,740
2013,Non-Elsevier,Max Planck Institute for Evolutionary Anthropology,87
2017,Elsevier,Karlsruhe Institute of Technology,506
2014,Non-Elsevier,Charité - University Medicine Berlin,1351
2018,Non-Elsevier,"University of Veterinary Medicine Hannover, Foundation",194
2019,Non-Elsevier,Martin Luther University Halle-Wittenberg,557
2017,Non-Elsevier,University of Freiburg,995
2019,Non-Elsevier,Goethe University Frankfurt,1029
2018,Non-Elsevier,Otto-von-Guericke University Magdeburg,432
2014,Elsevier,University of Münster,287
2012,Non-Elsevier,Freie Universität Berlin,620
2016,Non-Elsevier,RWTH Aachen University,1120
2019,Non-Elsevier,Heidelberg University of Education,9
2020,Non-Elsevier,Max Planck Institute for Polymer Research,158
2017,Non-Elsevier,University of Erlangen-Nuremberg,1275
2015,Non-Elsevier,University of Münster,799
2012,Non-Elsevier,Max Delbrück Center for Molecular Medicine,154
2020,Non-Elsevier,Leipzig University,1134
2018,Non-Elsevier,TH Köln – University of Applied Sciences,39
2016,Elsevier,University of Erlangen-Nuremberg,419
2014,Non-Elsevier,Goethe University Frankfurt,869
2012,Non-Elsevier,German Aerospace Center,225
2015,Elsevier,University of Hannover,166
2017,Non-Elsevier,Helmut Schmidt University,61
2019,Non-Elsevier,Ruhr University Bochum,952
2012,Non-Elsevier,German Cancer Research Center,362
2018,Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,78
2017,Elsevier,Hannover Medical School,214
2014,Non-Elsevier,Johannes Gutenberg University of Mainz,650
2018,Non-Elsevier,TU Darmstadt,607
2013,Elsevier,Philipp University of Marburg,208
2020,Non-Elsevier,University of Potsdam,709
2020,Non-Elsevier,University of Münster,1031
2019,Non-Elsevier,German Aerospace Center,396
2014,Elsevier,University of Tübingen,302
2017,Non-Elsevier,TU Dresden,1277
2018,Non-Elsevier,TU Dresden,1313
2016,Elsevier,Ruhr University Bochum,325
2013,Non-Elsevier,German Center for Neurodegenerative Diseases,142
2016,Non-Elsevier,Max Planck Institute for Informatics,31
2020,Non-Elsevier,Karlsruhe Institute of Technology,1295
2014,Elsevier,TU Dresden,482
2016,Non-Elsevier,Max Planck Institute for Evolutionary Biology,44
2018,Elsevier,Ruhr University Bochum,323
2020,Non-Elsevier,University of Lübeck,329
2020,Elsevier,Helmholtz Zentrum München,126
2013,Elsevier,University of Wuppertal,46
2020,Non-Elsevier,RWTH Aachen University,1527
2015,Non-Elsevier,Max Planck Institute for Solid State Research,128
2014,Non-Elsevier,Max Planck Institute of Biophysics,25
2020,Non-Elsevier,Charité - University Medicine Berlin,1990
2017,Non-Elsevier,Heidelberg University,1325
2020,Non-Elsevier,Technical University of Munich,2363
2018,Non-Elsevier,Max Planck Institute for Biological Cybernetics,56
2019,Non-Elsevier,Technische Universität Braunschweig,457
2015,Non-Elsevier,Technical University of Munich,1606
2019,Elsevier,Technical University of Munich,732
2017,Non-Elsevier,University of Bayreuth,376
2013,Elsevier,Heidelberg University,285
2019,Non-Elsevier,University of Tübingen,1127
2012,Non-Elsevier,University of Potsdam,339
2012,Non-Elsevier,University of Regensburg,479
2020,Non-Elsevier,University Medical Center Hamburg-Eppendorf,1206
2018,Elsevier,TU Darmstadt,201
2020,Elsevier,TU Darmstadt,245
2013,Non-Elsevier,Chemnitz University of Technology,161
2014,Non-Elsevier,University of Augsburg,147
2015,Elsevier,Philipp University of Marburg,194
2017,Non-Elsevier,University of Stuttgart,642
2020,Non-Elsevier,University of Ulm,753
2014,Elsevier,Goethe University Frankfurt,258
2013,Non-Elsevier,Max Planck Institute for the Physics of Complex Systems,92
2016,Non-Elsevier,Freie Universität Berlin,793
2015,Elsevier,University of Giessen,217
2019,Elsevier,Max Planck Institute for Polymer Research,11
2015,Non-Elsevier,Max Delbrück Center for Molecular Medicine,162
2013,Elsevier,Hamburg University of Technology,84
2020,Non-Elsevier,Otto-von-Guericke University Magdeburg,560
2019,Non-Elsevier,University of Mannheim,188
2014,Elsevier,University of Giessen,196
2014,Non-Elsevier,Helmholtz Centre for Environmental Research,151
2017,Non-Elsevier,German Cancer Research Center,583
2013,Non-Elsevier,Clausthal University of Technology,88
2016,Non-Elsevier,Charité - University Medicine Berlin,1399
2018,Non-Elsevier,Universität Hamburg,744
2015,Elsevier,Martin Luther University Halle-Wittenberg,155
2013,Non-Elsevier,University of Konstanz,328
2018,Elsevier,University of Erlangen-Nuremberg,425
2012,Elsevier,Heidelberg University,340
2014,Non-Elsevier,Osnabrück University,150
2013,Non-Elsevier,University of Freiburg,691
2019,Non-Elsevier,University of Erlangen-Nuremberg,1392
2014,Non-Elsevier,University of Göttingen,826
2017,Non-Elsevier,University of Konstanz,386
2015,Elsevier,Technical University of Munich,662
2017,Non-Elsevier,Leibniz Institute of Ecological Urban and Regional Development,12
2013,Non-Elsevier,Heidelberg University,1117
2015,Non-Elsevier,Carl von Ossietzky University of Oldenburg,310
2014,Non-Elsevier,Max Planck Institute for Dynamics and Self Organization,55
2017,Elsevier,Charité - University Medicine Berlin,353
2015,Non-Elsevier,Goethe University Frankfurt,873
2020,Non-Elsevier,Hannover Medical School,1047
2017,Elsevier,Goethe University Frankfurt,235
2014,Non-Elsevier,German Rheumatism Research Centre,46
2015,Non-Elsevier,Ruhr University Bochum,797
2014,Elsevier,University of Bonn,275
2016,Non-Elsevier,Julius Kühn-Institut,51
2017,Non-Elsevier,University of Würzburg,755
2015,Non-Elsevier,RWTH Aachen University,1136
2019,Non-Elsevier,Max Planck Institute for Chemical Physics of Solids,113
2015,Non-Elsevier,TU Dresden,1065
2018,Non-Elsevier,Technical University of Munich,2174
2016,Non-Elsevier,Chemnitz University of Technology,227
2015,Non-Elsevier,Humboldt University of Berlin,643
2013,Non-Elsevier,German Sport University Cologne,75
2020,Non-Elsevier,University of Stuttgart,715
2013,Non-Elsevier,University of Erlangen-Nuremberg,1010
2013,Elsevier,University of Stuttgart,174
2014,Elsevier,German Sport University Cologne,24
2019,Non-Elsevier,University of Hohenheim,325
2016,Non-Elsevier,University of Tübingen,1142
2019,Non-Elsevier,Bielefeld University,463
2013,Elsevier,RWTH Aachen University,411
2017,Elsevier,Max Planck Institute of Psychiatry,18
2016,Non-Elsevier,Bielefeld University,381
2020,Non-Elsevier,German Cancer Research Center,744
2015,Non-Elsevier,Philipp University of Marburg,571
2020,Non-Elsevier,Ruhr University Bochum,1129
2015,Elsevier,GSI Helmholtz Centre for Heavy Ion Research,48
2016,Non-Elsevier,Technical University of Munich,1877
