article_pubyear,publisher,oa_status,n_items
2012,Non-Elsevier,bronze,3782
2013,Non-Elsevier,closed,16074
2013,Elsevier,closed,7491
2013,Non-Elsevier,bronze,3538
2013,Non-Elsevier,gold,5311
2013,Elsevier,bronze,703
2014,Non-Elsevier,hybrid,1520
2014,Non-Elsevier,green,4346
2015,Non-Elsevier,bronze,3462
2015,Non-Elsevier,green,4244
2016,Non-Elsevier,closed,17142
2017,Non-Elsevier,closed,17638
2017,Elsevier,closed,7611
2017,Elsevier,green,1175
2019,Elsevier,closed,6814
2019,Elsevier,gold,1361
2020,Elsevier,hybrid,1188
2020,Non-Elsevier,hybrid,13188
2020,Non-Elsevier,green,2211
2020,Elsevier,gold,1497
2017,Non-Elsevier,bronze,3406
2019,Elsevier,bronze,455
2018,Elsevier,gold,1188
2016,Elsevier,green,980
2016,Non-Elsevier,gold,8141
2016,Elsevier,hybrid,653
2020,Non-Elsevier,bronze,1618
2012,Non-Elsevier,green,4366
2012,Non-Elsevier,hybrid,868
2019,Non-Elsevier,green,3591
2015,Elsevier,bronze,890
2016,Elsevier,gold,1246
2018,Non-Elsevier,bronze,2860
2014,Elsevier,bronze,672
2017,Elsevier,gold,1234
2017,Elsevier,bronze,697
2013,Elsevier,gold,431
2012,Elsevier,bronze,775
2013,Elsevier,hybrid,411
2012,Elsevier,closed,7034
2012,Non-Elsevier,closed,16257
2012,Elsevier,hybrid,397
2013,Non-Elsevier,green,4443
2014,Non-Elsevier,closed,16711
2014,Elsevier,closed,7534
2014,Non-Elsevier,bronze,3353
2014,Non-Elsevier,gold,6295
2014,Elsevier,hybrid,681
2014,Elsevier,green,976
2015,Non-Elsevier,closed,16437
2015,Non-Elsevier,gold,7522
2015,Elsevier,hybrid,609
2016,Elsevier,closed,7786
2016,Non-Elsevier,bronze,3396
2016,Non-Elsevier,hybrid,2430
2017,Non-Elsevier,gold,9253
2017,Non-Elsevier,green,4581
2018,Non-Elsevier,closed,16271
2018,Non-Elsevier,gold,10189
2018,Non-Elsevier,green,4306
2019,Non-Elsevier,closed,14355
2019,Non-Elsevier,gold,11682
2019,Non-Elsevier,bronze,2205
2018,Elsevier,hybrid,755
2018,Elsevier,green,1226
2020,Non-Elsevier,closed,9381
2020,Elsevier,closed,6712
2020,Non-Elsevier,gold,14489
2020,Elsevier,green,897
2019,Non-Elsevier,hybrid,5263
2018,Elsevier,closed,7222
2015,Elsevier,closed,7807
2020,Elsevier,bronze,329
2012,Elsevier,green,826
2015,Elsevier,green,889
2016,Non-Elsevier,green,4566
2012,Non-Elsevier,gold,4175
2019,Elsevier,hybrid,913
2019,Elsevier,green,1081
2017,Non-Elsevier,hybrid,2051
2015,Non-Elsevier,hybrid,1993
2018,Non-Elsevier,hybrid,2312
2013,Non-Elsevier,hybrid,889
2015,Elsevier,gold,1193
2018,Elsevier,bronze,571
2012,Elsevier,gold,369
2014,Elsevier,gold,950
2017,Elsevier,hybrid,740
2013,Elsevier,green,924
2016,Elsevier,bronze,986
