article_pubyear,publisher,member,n_items
2012,Public Library of Science (PLoS),340,1103
2012,Springer Science and Business Media LLC,297,952
2012,Elsevier BV,78,370
2012,Frontiers Media SA,1965,340
2012,Hindawi Limited,98,332
2012,Copernicus GmbH,3145,329
2012,MDPI AG,1968,150
2012,IOP Publishing,266,127
2012,Oxford University Press (OUP),286,102
2012,Beilstein Institut,2086,97
2012,International Union of Crystallography (IUCr),329,91
2012,Informa UK Limited,301,74
2012,Wiley,311,59
2012,Walter de Gruyter GmbH,374,48
2012,SAGE Publications,179,40
2012,EDP Sciences,250,34
2012,S. Karger AG,127,24
2012,American Physical Society (APS),16,23
2012,EMBO,79,18
2012,"Institute of Physics, Polish Academy of Sciences",4961,17
2012,Open Publishing Association,2720,16
2012,Cold Spring Harbor Laboratory,246,14
2012,Association for Research in Vision and Ophthalmology (ARVO),27,14
2012,FapUNIFESP (SciELO),530,14
2012,American Society for Microbiology,235,13
2012,The Optical Society,285,12
2012,Ferrata Storti Foundation (Haematologica),1856,9
2012,The Company of Biologists,237,8
2012,American Geophysical Union (AGU),13,6
2012,Medknow,2581,5
2012,Ivyspring International Publisher,4137,5
2012,Pensoft Publishers,2258,5
2012,Future Science Ltd,2641,5
2012,BMJ,239,5
2012,AIP Publishing,317,5
2012,Croatian Medical Journals,1858,4
2012,PAGEPress Publications,2549,4
2012,F1000 Research Ltd,2560,4
2012,Centers for Disease Control and Prevention (CDC),1822,4
2012,The Korean Society of Veterinary Science,2632,3
2012,Environmental Health Perspectives,252,3
2012,Ovid Technologies (Wolters Kluwer Health),276,3
2012,"eLife Sciences Publications, Ltd",4374,3
2012,"Polska Akademia Nauk Instytut Paleobiologii (Institute of Paleobiology, Polish Academy of Sciences)",2718,3
2012,Mary Ann Liebert Inc,278,3
2012,AVES Publishing Co.,3111,3
2012,University of Tartu,5007,2
2012,JMIR Publications Inc.,1010,2
2012,Institute of Mathematical Statistics,108,2
2012,Spandidos Publications,2249,2
2012,The Angle Orthodontist (EH Angle Education & Research Foundation),1164,2
2012,Czech Technical University in Prague - Central Library,5452,2
2012,Lyson Center for Civic Agriculture and Food Systems,3249,2
2012,SciELO Agencia Nacional de Investigacion y Desarrollo (ANID),2516,2
2012,"Ubiquity Press, Ltd.",3285,2
2012,Emerald,140,2
2012,Institute of Slavic Studies of the Russian Academy of Sciences,16235,2
