article_pubyear,publisher,member,n_items
2012,Springer Science and Business Media LLC,297,416
2012,Elsevier BV,78,397
2012,Oxford University Press (OUP),286,106
2012,American Physical Society (APS),16,93
2012,Rockefeller University Press,291,31
2012,American Diabetes Association,1167,23
2012,Wiley,311,20
2012,American Meteorological Society,12,19
2012,American Society for Cell Biology (ASCB),1076,12
2012,Informa UK Limited,301,11
2012,Institute of Electrical and Electronics Engineers (IEEE),263,11
2012,Copernicus GmbH,3145,9
2012,Bentham Science Publishers Ltd.,965,8
2012,The Royal Society,175,7
2012,The Company of Biologists,237,6
2012,S. Karger AG,127,6
2012,SAGE Publications,179,5
2012,American Society of Neuroradiology (ASNR),1756,5
2012,Frontiers Media SA,1965,5
2012,Kowsar Medical Institute,3819,5
2012,Baishideng Publishing Group Inc.,2060,4
2012,Portland Press Ltd.,288,4
2012,American Vacuum Society,20,4
2012,BMJ,239,4
2012,Scientific Societies,1665,3
2012,Cold Spring Harbor Laboratory,246,3
2012,Institute of Mathematical Statistics,108,2
2012,"Impact Journals, LLC",7892,2
2012,Microbiology Society,345,2
2012,"Elmer Press, Inc.",5784,2
2012,"ClinTransMed, AB",11322,2
2012,International Union of Crystallography (IUCr),329,2
2012,American Association for Cancer Research (AACR),1086,2
2012,Georg Thieme Verlag KG,194,1
2012,American Dairy Science Association,1747,1
2012,The American Association of Immunologists,2487,1
2012,MDPI AG,1968,1
2012,American Medical Association (AMA),10,1
2012,IOP Publishing,266,1
2012,Walter de Gruyter GmbH,374,1
2012,Vilnius Gediminas Technical University,2209,1
2012,OMICS Publishing Group,2674,1
2012,Spandidos Publications,2249,1
2012,Ovid Technologies (Wolters Kluwer Health),276,1
2012,Agency for Marine and Fisheries Research and Development,6230,1
2012,MIT Press - Journals,281,1
2012,American Society of Plant Biologists (ASPB),37,1
2012,Cambridge University Press (CUP),56,1
2012,Sociedade Portuguesa de Endocrinologia Diabetes e Metabolismo,11038,1
2012,PAGEPress Publications,2549,1
2012,Medknow,2581,1
2013,Elsevier BV,78,411
2013,Springer Science and Business Media LLC,297,307
2013,Oxford University Press (OUP),286,109
2013,Wiley,311,56
2013,American Physical Society (APS),16,50
2013,Royal Society of Chemistry (RSC),292,43
2013,Rockefeller University Press,291,22
2013,American Society for Microbiology,235,21
2013,American Diabetes Association,1167,21
2013,The Royal Society,175,16
2013,American Society for Cell Biology (ASCB),1076,15
2013,IOP Publishing,266,15
2013,Institute of Electrical and Electronics Engineers (IEEE),263,15
2013,American Meteorological Society,12,14
2013,International Union of Crystallography (IUCr),329,13
2013,SPIE-Intl Soc Optical Eng,189,12
2013,Informa UK Limited,301,11
2013,The Company of Biologists,237,10
2013,Cambridge University Press (CUP),56,9
2013,BMJ,239,8
2013,S. Karger AG,127,8
2013,"Impact Journals, LLC",7892,8
2013,SAGE Publications,179,7
2013,Spandidos Publications,2249,5
2013,American Geophysical Union (AGU),13,5
2013,Copernicus GmbH,3145,4
2013,American Vacuum Society,20,4
2013,Portland Press Ltd.,288,4
2013,Bentham Science Publishers Ltd.,965,4
2013,Baishideng Publishing Group Inc.,2060,4
2013,Microbiology Society,345,3
2013,MIT Press - Journals,281,3
2013,Cold Spring Harbor Laboratory,246,3
2013,American Mathematical Society (AMS),14,3
2013,Walter de Gruyter GmbH,374,2
2013,The Society of Laparoendoscopic Surgeons,2844,2
2013,American Physiological Society,24,1
2013,Frontiers Media SA,1965,1
2013,American Dairy Science Association,1747,1
2013,Society for Neuroscience,393,1
2013,Ovid Technologies (Wolters Kluwer Health),276,1
2013,Kowsar Medical Institute,3819,1
2013,OMICS Publishing Group,2674,1
2013,"Trans Tech Publications, Ltd.",2457,1
2013,American Society of Plant Biologists (ASPB),37,1
2013,American Society of Tropical Medicine and Hygiene,2795,1
2013,AIP Publishing,317,1
2013,Centro de Ciencias de la Atmosfera,8665,1
2013,American Society of Neuroradiology (ASNR),1756,1
2013,Scientific Societies,1665,1
2013,Georg Thieme Verlag KG,194,1
2013,Biomedical Informatics,4070,1
2013,American Institute of Mathematical Sciences (AIMS),2321,1
2014,Elsevier BV,78,681
2014,Royal Society of Chemistry (RSC),292,390
2014,Springer Science and Business Media LLC,297,355
2014,Oxford University Press (OUP),286,118
2014,Wiley,311,114
2014,IOP Publishing,266,58
2014,Baishideng Publishing Group Inc.,2060,38
2014,Informa UK Limited,301,27
2014,American Physical Society (APS),16,25
2014,The Company of Biologists,237,21
2014,"Trans Tech Publications, Ltd.",2457,20
2014,American Meteorological Society,12,20
2014,The Royal Society,175,17
2014,World Scientific Pub Co Pte Lt,219,16
2014,Rockefeller University Press,291,15
2014,Institute of Electrical and Electronics Engineers (IEEE),263,14
2014,International Union of Crystallography (IUCr),329,13
2014,American Geophysical Union (AGU),13,12
2014,American Society for Cell Biology (ASCB),1076,11
2014,SPIE-Intl Soc Optical Eng,189,11
2014,AIP Publishing,317,10
2014,American Mathematical Society (AMS),14,10
2014,S. Karger AG,127,9
2014,BMJ,239,8
2014,Spandidos Publications,2249,7
2014,Cambridge University Press (CUP),56,7
2014,American Diabetes Association,1167,6
2014,Cold Spring Harbor Laboratory,246,6
2014,Kowsar Medical Institute,3819,4
2014,SAGE Publications,179,4
2014,Academic Journals,3908,4
2014,Bentham Science Publishers Ltd.,965,3
2014,Proceedings of the National Academy of Sciences,341,3
2014,Ovid Technologies (Wolters Kluwer Health),276,3
2014,Society for Neuroscience,393,3
2014,OAE Publishing Inc.,8410,3
2014,EMBO,79,3
2014,Walter de Gruyter GmbH,374,2
2014,Institution of Engineering and Technology (IET),265,2
2014,Mineralogical Society,7149,2
2014,Frontiers Media SA,1965,2
2014,American Society of Neuroradiology (ASNR),1756,2
2014,Functional Food Center,17268,2
2014,"Impact Journals, LLC",7892,2
2014,Servier International,16603,1
2014,Copernicus GmbH,3145,1
2014,American Society for Microbiology,235,1
2014,The Endocrine Society,80,1
2014,Microbiology Society,345,1
2014,Vilnius Gediminas Technical University,2209,1
2014,"Elmer Press, Inc.",5784,1
2014,American Society of Tropical Medicine and Hygiene,2795,1
2014,International Association of Online Engineering (IAOE),2371,1
2014,International Journal of Medical Education,3053,1
2014,Brill,50,1
2014,Xia & He Publishing,5334,1
2014,American Association for the Advancement of Science (AAAS),221,1
2014,Bioscientifica,416,1
2014,Bangladesh Journals Online (JOL),1861,1
2014,OMICS Publishing Group,2674,1
2014,Institute of Mathematical Statistics,108,1
2014,Georg Thieme Verlag KG,194,1
2014,"ClinTransMed, AB",11322,1
2014,Universidad Nacional Autonoma de Mexico,9467,1
2014,Korean Society for Molecular and Cellular Biology,5451,1
2014,The American Association of Immunologists,2487,1
2014,The Korean Society of Neurogastroenterology and Motility,2998,1
2014,American Association for Cancer Research (AACR),1086,1
2015,Royal Society of Chemistry (RSC),292,687
2015,Elsevier BV,78,609
2015,Springer Science and Business Media LLC,297,295
2015,Wiley,311,145
2015,American Physical Society (APS),16,144
2015,Oxford University Press (OUP),286,119
2015,IOP Publishing,266,54
2015,Informa UK Limited,301,43
2015,International Union of Crystallography (IUCr),329,29
2015,Baishideng Publishing Group Inc.,2060,29
2015,Proceedings of the National Academy of Sciences,341,23
2015,American Geophysical Union (AGU),13,22
2015,AIP Publishing,317,21
2015,American Meteorological Society,12,21
2015,BMJ,239,18
2015,The Royal Society,175,18
2015,Institute of Electrical and Electronics Engineers (IEEE),263,16
2015,S. Karger AG,127,12
2015,American Society for Cell Biology (ASCB),1076,12
2015,The Company of Biologists,237,11
2015,Scientific Societies,1665,9
2015,Cambridge University Press (CUP),56,9
2015,SAGE Publications,179,7
2015,EMBO,79,7
2015,American Society of Neuroradiology (ASNR),1756,7
2015,Georg Thieme Verlag KG,194,7
2015,Cold Spring Harbor Laboratory,246,6
2015,American Society for Microbiology,235,6
2015,Society for Neuroscience,393,5
2015,Spandidos Publications,2249,5
2015,SPIE-Intl Soc Optical Eng,189,5
2015,Walter de Gruyter GmbH,374,5
2015,Ovid Technologies (Wolters Kluwer Health),276,4
2015,Bentham Science Publishers Ltd.,965,4
2015,Copernicus GmbH,3145,4
2015,World Scientific Pub Co Pte Lt,219,3
2015,Springer Fachmedien Wiesbaden GmbH,93,3
2015,Portland Press Ltd.,288,3
2015,Institution of Engineering and Technology (IET),265,3
2015,Microbiology Society,345,2
2015,"Applied Systems, srl",5830,2
2015,Scientific Scholar,10894,2
2015,"Trans Tech Publications, Ltd.",2457,2
2015,American Society of Nephrology (ASN),736,1
2015,Kowsar Medical Institute,3819,1
2015,Functional Food Center,17268,1
2015,American Society of Clinical Oncology (ASCO),233,1
2015,"ClinTransMed, AB",11322,1
2015,Mary Ann Liebert Inc,278,1
2015,Virtus Interpress,9787,1
2015,American Vacuum Society,20,1
2015,Association for Research in Vision and Ophthalmology (ARVO),27,1
2015,"Touch Medical Media, Ltd.",7274,1
2015,American Dairy Science Association,1747,1
2015,Laser Institute of America,1208,1
2015,Acoustical Society of America (ASA),231,1
2015,MDPI AG,1968,1
2015,American Association for Cancer Research (AACR),1086,1
2015,Informa Healthcare,3197,1
2015,JMIR Publications Inc.,1010,1
2015,Medknow,2581,1
2015,Universite de Bordeaux,8852,1
2015,British Institute of Radiology,45,1
2015,Canadian Science Publishing,155,1
2015,Frontiers Media SA,1965,1
2015,OAE Publishing Inc.,8410,1
2015,Bioscientifica,416,1
2015,Inovatus Usluge d.o.o.,7993,1
2015,Mineralogical Society,7149,1
2015,EDP Sciences,250,1
2015,Future Medicine Ltd,1057,1
2015,Mineralogical Society of America,10602,1
2015,American Physiological Society,24,1
2015,Xia & He Publishing,5334,1
2015,The Endocrine Society,80,1
2015,"Bio-Protocol, LLC",9223,1
2015,American Society of Civil Engineers (ASCE),30,1
2016,Royal Society of Chemistry (RSC),292,690
2016,Elsevier BV,78,653
2016,Springer Science and Business Media LLC,297,471
2016,Wiley,311,280
2016,Oxford University Press (OUP),286,138
2016,American Physical Society (APS),16,136
2016,Informa UK Limited,301,89
2016,IOP Publishing,266,65
2016,Georg Thieme Verlag KG,194,30
2016,American Meteorological Society,12,29
2016,American Geophysical Union (AGU),13,27
2016,Baishideng Publishing Group Inc.,2060,26
2016,The Royal Society,175,22
2016,AIP Publishing,317,21
2016,World Scientific Pub Co Pte Lt,219,17
2016,International Union of Crystallography (IUCr),329,16
2016,"Trans Tech Publications, Ltd.",2457,15
2016,SAGE Publications,179,14
2016,American Society for Cell Biology (ASCB),1076,14
2016,EMBO,79,13
2016,S. Karger AG,127,13
2016,American Society for Microbiology,235,12
2016,The Company of Biologists,237,12
2016,SPIE-Intl Soc Optical Eng,189,10
2016,Cambridge University Press (CUP),56,9
2016,Scientific Societies,1665,9
2016,BMJ,239,9
2016,Mary Ann Liebert Inc,278,9
2016,Institute of Electrical and Electronics Engineers (IEEE),263,8
2016,Ovid Technologies (Wolters Kluwer Health),276,8
2016,Cold Spring Harbor Laboratory,246,8
2016,Walter de Gruyter GmbH,374,8
2016,Society for Neuroscience,393,7
2016,American Mathematical Society (AMS),14,7
2016,American Physiological Society,24,5
2016,The Endocrine Society,80,4
2016,EDP Sciences,250,4
2016,Bentham Science Publishers Ltd.,965,4
2016,Proceedings of the National Academy of Sciences,341,4
2016,Rockefeller University Press,291,3
2016,Springer Fachmedien Wiesbaden GmbH,93,3
2016,Institution of Engineering and Technology (IET),265,3
2016,Spandidos Publications,2249,3
2016,American Psychological Association (APA),15,2
2016,Geological Society of America,257,2
2016,Brill,50,2
2016,British Institute of Radiology,45,2
2016,IWA Publishing,945,2
2016,The Electrochemical Society,77,2
2016,American Vacuum Society,20,2
2016,Maad Rayan Publishing Company,20123,1
2016,Radiological Society of North America (RSNA),1577,1
2016,American Society of Neuroradiology (ASNR),1756,1
2016,Society of Exploration Geophysicists,186,1
2016,Future Medicine Ltd,1057,1
2016,Institute of Mathematical Statistics,108,1
2016,Acoustical Society of America (ASA),231,1
2016,American Dairy Science Association,1747,1
2016,American Association for Cancer Research (AACR),1086,1
2016,American Association for the Advancement of Science (AAAS),221,1
2016,SciPress Ltd,7446,1
2016,Sciaccess Publishers LLC,11801,1
2016,Korean Society for Molecular and Cellular Biology,5451,1
2016,American Society of Plant Biologists (ASPB),37,1
2016,Korean Society of Electron Microscopy,4672,1
2016,Hogrefe Publishing Group,101,1
2016,Servier International,16603,1
2016,American Society of Civil Engineers (ASCE),30,1
2016,International Association of Online Engineering (IAOE),2371,1
2017,Elsevier BV,78,741
2017,Springer Science and Business Media LLC,297,488
2017,Wiley,311,309
2017,Royal Society of Chemistry (RSC),292,178
2017,American Physical Society (APS),16,150
2017,Oxford University Press (OUP),286,121
2017,Informa UK Limited,301,109
2017,IOP Publishing,266,54
2017,Georg Thieme Verlag KG,194,34
2017,American Meteorological Society,12,32
2017,AIP Publishing,317,31
2017,"Trans Tech Publications, Ltd.",2457,23
2017,American Geophysical Union (AGU),13,22
2017,The Royal Society,175,20
2017,SAGE Publications,179,19
2017,EMBO,79,18
2017,Baishideng Publishing Group Inc.,2060,16
2017,American Society for Cell Biology (ASCB),1076,15
2017,American Mathematical Society (AMS),14,14
2017,International Union of Crystallography (IUCr),329,14
2017,Ovid Technologies (Wolters Kluwer Health),276,14
2017,Cambridge University Press (CUP),56,13
2017,BMJ,239,12
2017,Scientific Societies,1665,12
2017,S. Karger AG,127,12
2017,Proceedings of the National Academy of Sciences,341,12
2017,SPIE-Intl Soc Optical Eng,189,11
2017,Rockefeller University Press,291,11
2017,World Scientific Pub Co Pte Lt,219,9
2017,Cold Spring Harbor Laboratory,246,8
2017,Institute of Electrical and Electronics Engineers (IEEE),263,8
2017,American Society for Microbiology,235,8
2017,The Company of Biologists,237,7
2017,American Society of Plant Biologists (ASPB),37,6
2017,Walter de Gruyter GmbH,374,6
2017,EDP Sciences,250,5
2017,Society for Neuroscience,393,5
2017,Acoustical Society of America (ASA),231,5
2017,American Physiological Society,24,4
2017,Duke University Press,73,4
2017,Spandidos Publications,2249,4
2017,Institution of Engineering and Technology (IET),265,4
2017,MDPI AG,1968,3
2017,American Vacuum Society,20,3
2017,Springer Fachmedien Wiesbaden GmbH,93,3
2017,American Society of Neuroradiology (ASNR),1756,3
2017,Microbiology Society,345,3
2017,Geological Society of America,257,2
2017,Radiological Society of North America (RSNA),1577,2
2017,Academic Journals,3908,2
2017,Annual Reviews,22,2
2017,Bioscientifica,416,2
2017,The Electrochemical Society,77,2
2017,Portland Press Ltd.,288,2
2017,Geological Society of London,1881,1
2017,Laser Institute of America,1208,1
