n_refs,n_items
31,14245
44,11371
67,4619
39,12836
49,10024
25,13535
48,10283
29,14137
40,12788
33,13786
133,348
54,8010
118,532
46,10693
79,2544
58,6714
74,3252
56,7537
72,3683
30,14477
18,11073
53,8350
42,11669
94,1351
82,2300
35,13471
115,571
51,9145
24,13243
70,4198
22,12442
26,13469
138,285
135,300
41,12229
28,13964
2,7971
495,2
68,4409
50,9890
23,13054
19,11491
16,10609
47,10611
80,2475
231,51
107,770
55,7924
65,5025
34,13919
36,13463
57,7063
60,6471
20,11940
84,2079
59,6636
21,12036
11,9041
66,4810
69,4207
75,3113
186,112
93,1325
109,744
76,3029
32,13751
5,9060
101,972
83,2115
124,421
37,13194
38,13042
52,8778
27,13572
73,3373
17,10635
108,748
77,2783
61,6068
45,11003
43,11522
14,9930
190,90
111,677
7,8437
12,9410
99,1095
123,460
211,70
64,5230
62,5751
63,5561
126,437
85,1965
10,10386
0,93808
104,893
102,932
105,843
4,8399
15,10600
150,269
87,1797
130,383
103,913
116,556
156,195
96,1254
91,1474
71,3897
81,2308
119,510
92,1415
95,1202
165,168
128,376
8,8749
196,81
157,209
166,159
120,515
188,95
167,137
210,92
110,715
173,123
89,1617
114,554
113,588
169,140
88,1791
452,3
1,12295
194,89
6,8244
202,59
100,1142
97,1165
129,397
132,362
149,246
163,196
271,19
3,7829
90,1616
187,105
98,1121
146,235
151,222
217,58
338,12
86,1840
301,13
140,275
136,294
145,269
1099,1
139,301
213,74
13,9632
112,610
121,454
170,151
354,12
189,86
227,53
171,124
154,220
257,30
106,798
122,457
253,34
159,190
131,345
230,47
316,10
403,6
244,32
78,2702
225,45
9,9262
448,7
125,460
247,33
223,52
192,97
228,57
155,210
141,274
137,316
142,279
134,353
215,69
312,13
207,78
193,90
240,35
408,6
298,21
127,392
184,110
178,115
329,17
266,28
212,61
162,166
144,257
174,133
351,10
152,211
389,7
181,102
248,35
264,38
603,3
237,49
277,24
153,196
180,124
462,7
281,18
318,17
158,155
658,2
117,544
236,39
260,33
148,231
147,251
475,2
195,90
161,174
267,25
371,7
233,49
177,117
317,10
291,27
332,13
183,106
232,41
220,62
382,7
226,68
164,175
198,88
480,2
294,25
262,35
343,7
143,271
258,32
477,3
218,65
442,2
176,122
234,48
246,32
191,102
199,78
259,23
250,32
203,98
503,3
172,115
219,49
261,28
380,6
781,2
254,40
229,52
363,6
185,115
243,42
239,34
168,135
347,13
276,27
533,3
588,3
205,70
272,22
216,62
407,5
331,16
482,1
283,21
182,115
763,1
388,11
208,73
287,16
372,4
309,15
265,31
256,25
383,14
360,11
454,7
268,23
160,145
206,87
516,1
610,1
341,3
500,4
390,4
447,5
179,114
444,7
263,28
222,53
245,35
327,15
278,21
197,86
201,85
399,2
273,19
342,10
381,8
654,2
204,75
650,1
874,1
209,82
175,128
308,12
255,27
557,4
450,7
377,5
235,39
241,44
416,7
357,10
286,13
221,52
270,15
414,4
249,26
2383,1
251,38
604,1
432,7
324,14
214,53
300,25
311,20
349,9
494,4
621,2
423,7
415,5
335,8
238,44
643,2
362,11
411,5
589,2
592,2
465,4
269,24
310,16
769,1
242,44
306,20
297,17
333,9
290,18
299,19
282,22
562,2
366,13
356,17
373,5
469,4
336,13
498,1
446,3
319,14
314,16
457,5
337,11
570,3
292,16
340,13
623,1
365,15
461,3
355,10
512,4
368,4
1018,1
393,8
532,2
523,1
436,3
378,5
252,33
320,11
439,9
326,10
304,24
279,14
559,2
406,7
686,1
295,19
488,4
285,17
595,1
435,4
392,8
200,75
288,17
296,19
307,7
353,6
508,3
413,4
275,28
426,4
305,10
405,2
424,6
574,4
334,12
274,18
499,4
535,1
449,4
455,5
361,10
325,9
561,2
431,4
367,10
322,11
657,1
511,1
280,28
289,14
224,59
386,7
451,4
543,3
430,5
824,1
493,5
772,1
553,3
620,2
398,4
843,1
1091,1
385,10
509,4
350,6
463,4
328,16
886,1
882,1
339,11
379,4
422,4
613,2
397,7
518,1
303,14
468,6
651,2
401,5
510,3
545,1
757,1
521,5
387,4
487,3
427,6
606,2
458,3
519,5
668,1
1720,1
395,3
315,14
527,6
679,3
542,4
743,1
323,11
554,3
811,1
374,5
346,7
284,20
723,1
799,1
530,5
464,5
421,2
478,2
2127,1
676,1
705,1
483,3
396,10
418,3
429,3
720,2
938,1
710,2
402,7
302,16
576,2
515,1
524,4
293,15
555,1
685,1
344,6
742,1
1002,1
485,2
513,1
420,7
376,9
410,2
497,4
514,4
375,2
358,8
568,3
443,2
596,3
434,3
476,2
537,2
313,14
787,1
522,3
404,6
352,8
1762,1
467,2
496,2
856,1
321,12
653,3
617,1
330,7
369,8
2703,1
417,6
409,6
575,1
771,1
438,4
547,1
453,3
486,3
466,3
470,4
618,2
445,2
642,1
749,1
425,2
907,1
394,7
384,5
680,1
472,1
558,1
1770,1
1238,1
473,4
520,1
489,6
670,1
711,1
586,3
412,10
364,7
348,8
645,3
947,1
1310,1
628,1
428,3
2061,1
774,1
370,7
556,3
359,8
784,1
581,1
912,1
646,3
534,1
632,1
644,1
1081,1
666,1
400,3
2137,1
601,3
591,2
440,6
1153,1
655,2
546,2
506,1
795,1
600,1
1014,1
391,6
552,2
1124,1
1702,1
17840,1
760,2
571,2
481,2
526,2
541,1
460,1
626,2
717,2
1391,1
560,2
691,3
631,3
721,1
965,1
572,4
504,1
590,2
538,1
501,2
724,1
762,1
793,2
1010,1
1380,1
1055,1
484,1
791,1
1165,1
919,1
1251,1
673,2
491,2
540,1
707,1
629,1
579,2
525,3
459,1
471,2
755,1
936,1
731,1
608,1
433,4
505,2
345,3
931,1
584,1
890,1
662,1
437,2
544,4
768,1
1078,1
1373,1
441,2
602,3
865,1
659,1
971,1
761,2
1205,1
1286,1
492,3
740,1
580,1
746,1
1877,1
578,2
690,1
1647,1
619,1
1609,1
583,1
490,4
1024,1
1036,1
474,2
664,1
785,1
689,1
624,1
1009,1
1377,1
977,1
951,1
548,1
549,2
456,1
567,1
1340,1
1700,1
1060,1
635,1
790,1
669,1
419,2
838,1
1122,1
2434,1
732,1
1572,1
808,1
1080,1
826,1
