article_pubyear,publisher,cancellation_year,n_refs,n_items
2015,Elsevier,2016,29348,10172
2016,Non-Elsevier,2017,141283,22566
2018,Non-Elsevier,2016,98208,15928
2013,Non-Elsevier,2017,120520,18799
2012,Elsevier,2017,35398,12239
2020,Elsevier,2016,38974,12307
2012,Non-Elsevier,2016,83283,12884
2019,Non-Elsevier,2017,141192,23008
2016,Non-Elsevier,2016,99449,15690
2013,Non-Elsevier,2016,85518,13420
2019,Elsevier,2016,32510,11039
2017,Non-Elsevier,2016,103663,16307
2020,Elsevier,2017,54044,17371
2019,Non-Elsevier,2016,99678,16439
2015,Non-Elsevier,2016,94016,15023
2018,Non-Elsevier,2017,137077,22265
2016,Non-Elsevier,2018,69693,10426
2013,Non-Elsevier,2018,65013,9452
2013,Elsevier,2018,19402,6442
2017,Non-Elsevier,2017,144521,23014
2014,Non-Elsevier,2017,126896,20195
2014,Non-Elsevier,2018,65489,9921
2014,Non-Elsevier,2016,89858,14273
2012,Non-Elsevier,2017,114541,18093
2012,Elsevier,2018,17311,5957
2020,Elsevier,2018,25203,7932
2019,Non-Elsevier,2018,68542,10583
2018,Non-Elsevier,2018,66706,10125
2015,Non-Elsevier,2017,133589,21372
2017,Non-Elsevier,2018,73046,10920
2019,Elsevier,2017,46288,15588
2017,Elsevier,2016,31513,10997
2014,Elsevier,2018,19899,6683
2020,Non-Elsevier,2017,171451,25951
2020,Non-Elsevier,2018,84414,11871
2020,Non-Elsevier,2016,121213,18252
2015,Elsevier,2018,21105,6997
2013,Elsevier,2016,25202,8852
2017,Elsevier,2017,46203,15800
2014,Elsevier,2016,26634,9454
2018,Elsevier,2017,46164,15258
2013,Elsevier,2017,37432,12752
2017,Elsevier,2018,22476,7354
2015,Non-Elsevier,2018,67592,10216
2016,Elsevier,2018,21384,7091
2012,Elsevier,2016,24251,8574
2012,Non-Elsevier,2018,61491,9018
2015,Elsevier,2017,43235,14618
2018,Elsevier,2018,21834,6921
2016,Elsevier,2017,46092,15581
2019,Elsevier,2018,22321,7214
2014,Elsevier,2017,40667,13870
2018,Elsevier,2016,32517,10769
2016,Elsevier,2016,30560,10615
