article_pubyear,publisher,collaboration_status,n_refs,n_items
2019,Non-Elsevier,deal-collaboration,97449,16892
2014,Non-Elsevier,deal-collaboration,95038,16166
2020,Non-Elsevier,deal-collaboration,111415,17797
2016,Elsevier,international-collaboration,29965,9980
2015,Non-Elsevier,national-collaboration,20596,3237
2012,Elsevier,international-collaboration,21396,7483
2015,Non-Elsevier,international-collaboration,90134,13637
2017,Non-Elsevier,international-collaboration,105370,15450
2019,Elsevier,deal-collaboration,33821,11451
2018,Non-Elsevier,international-collaboration,102821,15475
2017,Non-Elsevier,deal-collaboration,94998,16624
2017,Non-Elsevier,national-collaboration,23574,3599
2012,Elsevier,deal-collaboration,28841,10099
2017,Elsevier,deal-collaboration,32997,11529
2013,Non-Elsevier,deal-collaboration,92162,15304
2019,Non-Elsevier,national-collaboration,25089,4015
2015,Elsevier,deal-collaboration,32948,11504
2019,Non-Elsevier,single-author,18600,3469
2015,Elsevier,international-collaboration,28127,9403
2016,Non-Elsevier,deal-collaboration,100007,17108
2020,Non-Elsevier,single-author,18593,3589
2014,Elsevier,national-collaboration,6665,2165
2017,Non-Elsevier,single-author,18908,3563
2015,Non-Elsevier,deal-collaboration,96048,16677
2018,Non-Elsevier,deal-collaboration,97220,16504
2019,Non-Elsevier,international-collaboration,104792,15880
2017,Elsevier,single-author,5394,1835
2020,Non-Elsevier,international-collaboration,133234,18526
2020,Elsevier,deal-collaboration,36481,11901
2018,Non-Elsevier,single-author,17997,3486
2016,Non-Elsevier,international-collaboration,97051,14388
2019,Elsevier,single-author,5210,1732
2012,Non-Elsevier,deal-collaboration,91012,15073
2014,Elsevier,international-collaboration,25481,8665
2014,Non-Elsevier,international-collaboration,84108,12637
2012,Non-Elsevier,international-collaboration,71840,10861
2012,Non-Elsevier,single-author,19015,3120
2013,Non-Elsevier,international-collaboration,79649,11784
2013,Elsevier,international-collaboration,23768,8045
2015,Non-Elsevier,single-author,18367,3169
2018,Elsevier,deal-collaboration,34137,11357
2016,Non-Elsevier,national-collaboration,22301,3533
2013,Elsevier,single-author,5286,1610
2014,Elsevier,single-author,5105,1720
2014,Non-Elsevier,national-collaboration,18326,2957
2014,Non-Elsevier,single-author,18027,3152
2020,Non-Elsevier,national-collaboration,30618,4540
2018,Non-Elsevier,national-collaboration,24717,3881
2015,Elsevier,single-author,5435,1749
2013,Elsevier,deal-collaboration,30119,10469
2014,Elsevier,deal-collaboration,31822,11119
2017,Elsevier,national-collaboration,7961,2674
2018,Elsevier,international-collaboration,32706,10813
2012,Elsevier,single-author,4961,1678
2016,Non-Elsevier,single-author,18506,3368
2013,Non-Elsevier,single-author,17843,2962
2020,Elsevier,single-author,5228,1731
2016,Elsevier,single-author,5341,1780
2016,Elsevier,deal-collaboration,34203,11802
2013,Non-Elsevier,national-collaboration,16931,2670
2016,Elsevier,national-collaboration,8033,2653
2017,Elsevier,international-collaboration,31899,10644
2018,Elsevier,single-author,5079,1681
2019,Elsevier,national-collaboration,8016,2820
2020,Elsevier,international-collaboration,41443,12753
2012,Non-Elsevier,national-collaboration,15297,2457
2015,Elsevier,national-collaboration,7306,2360
2018,Elsevier,national-collaboration,8855,2834
2019,Elsevier,international-collaboration,33542,11055
2020,Elsevier,national-collaboration,9883,3234
2013,Elsevier,national-collaboration,5643,1936
2012,Elsevier,national-collaboration,5138,1781
