article_pubyear,publisher,institution_name,n_refs
2019,Non-Elsevier,Karlsruhe Institute of Technology,8595
2020,Non-Elsevier,Freie Universität Berlin,7929
2013,Non-Elsevier,University of Erlangen-Nuremberg,7747
2020,Non-Elsevier,Max Planck Society,1247
2013,Non-Elsevier,Philipp University of Marburg,4540
2020,Non-Elsevier,University of Freiburg,10188
2018,Non-Elsevier,Max Planck Institute for Dynamics and Self Organization,323
2018,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,1182
2015,Non-Elsevier,Ruhr University Bochum,5347
2018,Non-Elsevier,Universität Hamburg,4595
2016,Non-Elsevier,Max Planck Institute for Heart and Lung Research,381
2019,Elsevier,University of Siegen,418
2012,Elsevier,Ruhr University Bochum,1723
2020,Non-Elsevier,University of Tübingen,9473
2019,Elsevier,German Cancer Research Center,2017
2020,Non-Elsevier,Kiel University,6209
2019,Elsevier,Clausthal University of Technology,267
2012,Non-Elsevier,TU Dresden,6343
2012,Non-Elsevier,Leuphana University of Lüneburg,499
2014,Non-Elsevier,Ruhr University Bochum,5732
2014,Elsevier,University of Potsdam,872
2020,Elsevier,Leipzig University,2294
2014,Elsevier,Leibniz Institute for Solid State and Materials Research,359
2016,Non-Elsevier,Johannes Gutenberg University of Mainz,6377
2019,Non-Elsevier,Heidelberg University,11018
2018,Non-Elsevier,Karlsruhe Institute of Technology,8179
2015,Non-Elsevier,Hannover Medical School,5918
2017,Non-Elsevier,Max Planck Institute for Iron Research,531
2014,Elsevier,Furtwangen University,11
2019,Non-Elsevier,German Sport University Cologne,794
2012,Non-Elsevier,Saarland University,2853
2019,Non-Elsevier,TU Dresden,10551
2013,Non-Elsevier,University of Göttingen,6248
2017,Non-Elsevier,University of Greifswald,3254
2017,Non-Elsevier,Technical University of Munich,15971
2018,Elsevier,University of Bonn,1934
2018,Non-Elsevier,Philipp University of Marburg,4437
2012,Elsevier,Alfred Wegener Institute for Polar and Marine Research,504
2017,Non-Elsevier,Technical University of Berlin,5494
2017,Non-Elsevier,Philipp University of Marburg,5289
2013,Elsevier,Hamburg University of Technology,402
2016,Non-Elsevier,Saarland University,4131
2017,Non-Elsevier,Goethe University Frankfurt,7143
2015,Non-Elsevier,University of Göttingen,6730
2013,Elsevier,Helmholtz Zentrum München,779
2014,Non-Elsevier,University of Bremen,2462
2014,Elsevier,Humboldt University of Berlin,1504
2013,Non-Elsevier,University of Duisburg-Essen,4756
2018,Non-Elsevier,Goethe University Frankfurt,6607
2016,Non-Elsevier,University of Bayreuth,3356
2016,Non-Elsevier,Technische Universität Braunschweig,2444
2016,Non-Elsevier,University of Rostock,2602
2017,Non-Elsevier,Heidelberg University,11314
2014,Non-Elsevier,Leipzig University,5853
2013,Elsevier,Freie Universität Berlin,1742
2013,Elsevier,Charité - University Medicine Berlin,3223
2016,Non-Elsevier,Goethe University Frankfurt,6777
2020,Elsevier,Technical University of Berlin,2449
2017,Elsevier,Humboldt University of Berlin,1890
2018,Elsevier,Goethe University Frankfurt,2005
2014,Elsevier,Kiel University,1168
2020,Elsevier,University of Lübeck,646
2015,Non-Elsevier,Freie Universität Berlin,6498
2018,Non-Elsevier,Charité - University Medicine Berlin,11002
2014,Non-Elsevier,University of Tübingen,9183
2017,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,1799
2020,Elsevier,Reutlingen University,53
2020,Non-Elsevier,Max Planck Institute for Intelligent Systems,1077
2019,Non-Elsevier,University of Würzburg,5973
2017,Non-Elsevier,University of Münster,7881
2015,Non-Elsevier,Technical University of Munich,13106
2016,Non-Elsevier,University of Regensburg,4604
2018,Non-Elsevier,Technical University of Berlin,4441
2016,Non-Elsevier,Humboldt University of Berlin,4960
2020,Non-Elsevier,University of Würzburg,7252
2017,Elsevier,Goethe University Frankfurt,2057
2017,Elsevier,Saarland University,1401
2017,Elsevier,Max Planck Institute of Biophysics,107
2015,Non-Elsevier,Centre For European Economic Research,92
2015,Non-Elsevier,Martin Luther University Halle-Wittenberg,3101
2014,Elsevier,Leibniz Institute for Analytical Sciences - ISAS,150
2014,Non-Elsevier,Charité - University Medicine Berlin,10402
2017,Non-Elsevier,University of Giessen,4798
2016,Non-Elsevier,German Center for Neurodegenerative Diseases,1757
2016,Non-Elsevier,Hannover Medical School,6029
2012,Non-Elsevier,Ruhr University Bochum,5376
2018,Non-Elsevier,University of Hannover,3135
2013,Non-Elsevier,University of Münster,7425
2016,Non-Elsevier,Ruhr University Bochum,5941
2012,Non-Elsevier,Humboldt University of Berlin,4391
2013,Non-Elsevier,University of Kaiserslautern,1557
2016,Non-Elsevier,TU Dresden,9659
2015,Non-Elsevier,Leipzig University,6020
2013,Elsevier,University of Rostock,909
2017,Non-Elsevier,Saarland University,3970
2018,Elsevier,Karlsruhe Institute of Technology,3170
2019,Non-Elsevier,Alfred Wegener Institute for Polar and Marine Research,1509
2018,Elsevier,RWTH Aachen University,3955
2017,Non-Elsevier,Johannes Gutenberg University of Mainz,6538
2017,Non-Elsevier,Max Planck Institute for Nuclear Physics,750
2017,Non-Elsevier,Humboldt University of Berlin,6864
2019,Non-Elsevier,Technical University of Munich,16318
2019,Elsevier,University of Wuppertal,466
2012,Non-Elsevier,Federal Institute For Materials Research and Testing,1051
2012,Non-Elsevier,University of Erlangen-Nuremberg,7386
2014,Non-Elsevier,Karlsruhe Institute of Technology,6325
2012,Non-Elsevier,University of Hohenheim,1274
2020,Elsevier,University Medical Center Hamburg-Eppendorf,2754
2014,Non-Elsevier,Freie Universität Berlin,5789
2020,Non-Elsevier,University of Erlangen-Nuremberg,11995
