article_pubyear,publisher,oa_status,n_refs,n_items
2017,Non-Elsevier,green,48420,20717
2019,Non-Elsevier,bronze,29965,14818
2013,Elsevier,closed,43585,18503
2018,Non-Elsevier,closed,82441,27676
2017,Non-Elsevier,bronze,33963,15596
2015,Non-Elsevier,bronze,35540,15493
2012,Elsevier,closed,42121,17949
2016,Non-Elsevier,bronze,34592,15489
2015,Non-Elsevier,closed,98830,29384
2013,Non-Elsevier,gold,25328,11735
2020,Non-Elsevier,hybrid,41197,20353
2020,Elsevier,bronze,10199,5749
2018,Non-Elsevier,gold,59041,21964
2014,Non-Elsevier,hybrid,13574,8373
2016,Non-Elsevier,gold,48105,19401
2015,Elsevier,closed,47417,20024
2020,Non-Elsevier,gold,87933,28948
2019,Non-Elsevier,green,45050,19761
2016,Non-Elsevier,green,48972,20692
2015,Non-Elsevier,green,51590,20567
2019,Non-Elsevier,gold,66560,23881
2012,Non-Elsevier,closed,94656,26040
2017,Elsevier,hybrid,7690,5775
2018,Non-Elsevier,bronze,31178,14943
2015,Elsevier,green,11629,7952
2014,Non-Elsevier,bronze,37915,15359
2017,Elsevier,bronze,11910,7158
2019,Non-Elsevier,closed,79090,27706
2014,Non-Elsevier,closed,95334,28077
2020,Non-Elsevier,closed,89852,30633
2013,Non-Elsevier,green,50051,18748
2017,Elsevier,closed,45352,20159
2016,Non-Elsevier,closed,100545,30146
2018,Non-Elsevier,hybrid,25965,14072
2017,Non-Elsevier,closed,95759,29866
2020,Elsevier,closed,49353,20712
2013,Non-Elsevier,closed,95505,26782
2018,Elsevier,closed,43902,19078
2017,Non-Elsevier,hybrid,25559,14252
2012,Elsevier,bronze,3396,2407
2019,Non-Elsevier,hybrid,27941,15075
2014,Non-Elsevier,green,51373,20035
2014,Non-Elsevier,gold,33125,14551
2020,Non-Elsevier,green,48353,20974
2017,Non-Elsevier,gold,56967,21816
2016,Non-Elsevier,hybrid,21942,12806
2012,Non-Elsevier,gold,19021,9612
2015,Non-Elsevier,gold,40056,16752
2018,Non-Elsevier,green,45661,19750
2015,Elsevier,hybrid,6370,4585
2013,Elsevier,gold,679,556
2018,Elsevier,bronze,11354,6884
2016,Elsevier,closed,47631,20412
2019,Elsevier,closed,43356,19082
2012,Non-Elsevier,bronze,39993,14738
2014,Elsevier,bronze,8520,4794
2020,Elsevier,green,14736,10029
2012,Elsevier,green,12904,8001
2014,Elsevier,closed,44819,19193
2020,Elsevier,hybrid,12185,8457
2016,Elsevier,gold,3788,2604
2012,Non-Elsevier,green,49635,18381
2012,Non-Elsevier,hybrid,9801,6076
2020,Non-Elsevier,bronze,30952,15427
2019,Elsevier,hybrid,9386,6668
2014,Elsevier,green,11246,7473
2017,Elsevier,gold,4255,2933
2013,Non-Elsevier,hybrid,12411,7156
2019,Elsevier,green,13575,9205
2019,Elsevier,gold,5371,3832
2013,Non-Elsevier,bronze,38849,14764
2013,Elsevier,bronze,6162,3678
2015,Elsevier,bronze,8759,5030
2018,Elsevier,gold,4637,3220
2013,Elsevier,green,12048,7739
2015,Non-Elsevier,hybrid,16717,10414
2019,Elsevier,bronze,9250,5648
2014,Elsevier,hybrid,5510,3872
2016,Elsevier,bronze,10141,6048
2015,Elsevier,gold,2641,1903
2016,Elsevier,green,11396,7992
2012,Elsevier,hybrid,4190,2791
2020,Elsevier,gold,7367,5125
2018,Elsevier,hybrid,8349,6108
2017,Elsevier,green,12130,8457
2018,Elsevier,green,12827,8728
2016,Elsevier,hybrid,7278,5342
2012,Elsevier,gold,410,320
2013,Elsevier,hybrid,4796,3185
2014,Elsevier,gold,1550,1203
