deal_website_name,cancellation_year,grid_name,grid
RWTH Aachen,2016,RWTH Aachen University,grid.1957.a
Uni Augsburg,2016,University of Augsburg,grid.7307.3
Uni Bamberg,2016,University of Bamberg,grid.7359.8
Uni Bielefeld,2016,Bielefeld University,grid.7491.b
TU Braunschweig,2016,Braunschweig University of Technology,grid.6738.a
Universitaet der Bundeswehr Hamburg,2016,Helmut Schmidt University,grid.49096.32
Universitaet der Bundeswehr Muenchen,2016,Bundeswehr University Munich,grid.7752.7
TU Clausthal,2016,Clausthal University of Technology,grid.5164.6
TU Dortmund,2016,TU Dortmund University,grid.5675.1
Uni Eichstaett-Ingolstadt,2016,Catholic University of Eichst?tt-Ingolstadt,grid.440923.8
Uni Erlangen-Nuernberg,2016,University of Erlangen-Nuremberg,grid.5330.5
Uni Goettingen,2016,University of G?ttingen,grid.7450.6
Uni Greifswald,2016,University of Greifswald,grid.5603.0
FernUni Hagen,2016,University of Hagen,grid.31730.36
Uni Halle,2016,Martin Luther University Halle-Wittenberg,grid.9018.0
Uni Hamburg,2016,Universit?t Hamburg,grid.9026.d
Uni Hannover,2016,University of Hannover,grid.9122.8
TU Ilmenau,2016,Ilmenau University of Technology,grid.6553.5
Uni Luebeck,2016,University of Luebeck,grid.4562.5
Uni Lueneburg,2016,Leuphana University of Lueneburg,grid.10211.33
TU Muenchen,2016,Technical University Munich,grid.6936.a
Uni Muenster,2016,University of Muenster,grid.5949.1
Uni Osnabrueck,2016,Osnabrueck University,grid.10854.38
Uni Passau,2016,University of Passau,grid.11046.32
Uni Regensburg,2016,University of Regensburg,grid.7727.5
Uni Rostock,2016,University of Rostock,grid.10493.3f
Uni Siegen,2016,University of Siegen,grid.5836.8
Uni Weimar,2016,Bauhaus University Weimar,grid.41315.32
Uni Wuppertal,2016,University of Wuppertal,grid.7787.f
Uni Wuerzburg,2016,University of Wuerzburg,grid.8379.5
FH Aachen,2016,FH Aachen,grid.434081.a
HS Bonn-Rhein-Sieg,2016,Bonn-Rhein-Sieg University of Applied Sciences,grid.425058.e
HS Darmstadt,2016,Darmstadt University of Applied Sciences,grid.449026.d
HS Emden/Leer,2016,University of Applied Sciences Emden Leer,grid.454316.1
Frankfurt UAS,2016,Frankfurt University of Applied Sciences,grid.448814.5
HS Fresenius,2016,Fresenius University of Applied Sciences,grid.440934.e
HS Geisenheim University,2016,Hochschule Geisenheim University,grid.424509.e
Kuehne Logistics University Hamburg,2016,Kühne Logistics University,grid.448855.0
HS Hannover,2016,Hochschule Hannover,grid.461671.3
Medizinische Hochschule Hannover,2016,Hannover Medical School,grid.10423.34
Stiftung Tieraerztliche Hochschule Hannover,2016,University of Veterinary Medicine Hannover Foundation,grid.412970.9
DSHS Koeln,2016,German Sport University Cologne,grid.27593.3a
TH Koeln,2016,TH Koeln – University of Applied Sciences,grid.434092.8
HHL – Leipzig Graduate School of Management,2016,HHL Leipzig Graduate School of Management,grid.461621.6
HS Osnabrueck,2016,Hochschule Osnabrueck,grid.434095.f
HS Ostwestfalen-Lippe,2016,Ostwestfalen-Lippe University of Applied Sciences and Arts,grid.434955.a
HS Rhein-Waal,2016,Rhine-Waal University of Applied Sciences,grid.449481.4
Deutsches Institut fuer Ernaehrungsforschung Potsdam-Rehbruecke,2016,German Institute of Human Nutrition,grid.418213.d
Deutsches Institut fuer Internationale Paedagogische Forschung,2016,German Institute for International Educational Research,grid.461683.e
Forschungszentrum Borstel,2016,Research Center Borstel - Leibniz-Center for Medicine and Biosciences,grid.418187.3
Institut fuer Arbeitsmarkt- und Berufsforschung,2016,Institut fuer Arbeitsmarkt und Berufsforschung,grid.425330.3
Institut fuer Deutsche Sprache,2016,Institute for the German Language,grid.443960.c
Julius Kuehn-Institut,2016,Julius Kuehn-Institut,grid.13946.39
Leibniz-Institut fuer Agrarentwicklung in Transformationsoekonomien Halle,2016,Leibniz Institute of Agricultural Development in Transition Economies,grid.425200.1
Leibniz-Institut fuer Analytische Wissenschaften – ISAS – e.V.,2016,Leibniz Institute for Analytical Sciences - ISAS,grid.419243.9
Leibniz-Institut fuer Arbeitsforschung an der TU Dortmund,2016,Leibniz Research Centre for Working Environment and Human Factors,grid.419241.b
Leibniz-Institut fuer Festkoerper- und Werkstoffforschung,2016,Leibniz Institute for Solid State and Materials Research,grid.14841.38
Leibniz-Zentrum fuer Marine Tropenforschung,2016,Leibniz Center for Tropical Marine Ecology,grid.461729.f
Leibniz-Institut fuer Nutztierbiologie,2016,Leibniz Institute for Farm Animal Biology,grid.418188.c
Leibniz-Institut fuer oekologische Raumentwicklung,2016,Leibniz Institute of Ecological Urban and Regional Development,grid.424805.f
Leibniz-Institut fuer Ostseeforschung Warnemuende,2016,Leibniz Institute for Baltic Sea Research,grid.423940.8
Leibniz-Institut fuer Pflanzenbiochemie,2016,Leibniz Institute of Plant Biochemistry,grid.425084.f
Leibniz-Institut fuer Pflanzengenetik und Kulturpflanzenforschung,2016,Institute of Plant Genetics and Crop Plant Research,grid.418934.3
Leibniz-Institut fuer Polymerforschung Dresden e. V.,2016,Leibniz Institute of Polymer Research,grid.419239.4
Leibniz-Institut fuer Wirtschaftsforschung Halle,2016,Halle Institute for Economic Research,grid.469841.6
Leibniz-Institut fuer Zoo- und Wildtierforschung,2016,Leibniz Institute for Zoo and Wildlife Research,grid.418779.4
Mathematisches Forschungsinstitut Oberwolfach gGmbH,2016,Mathematical Research Institute of Oberwolfach,grid.429497.5
Paul-Ehrlich-Institut,2016,Paul Ehrlich Institut,grid.425396.f
RWI – Leibniz-Institut fuer Wirtschaftsforschung,2016,Rheinisch-Westfaelisches Institut fuer Wirtschaftsforschung,grid.437257.0
Schloss Dagstuhl – Leibniz-Zentrum fuer Informatik GmbH,2016,Schloss Dagstuhl – Leibniz Center for Informatics,grid.469874.0
ZBW – Leibniz-Informationszentrum Wirtschaft,2016,German National Library of Economics,grid.461649.8
Bayerische Staatsbibliothek,2016,Bavarian State Library,grid.432478.e
Staatsbibliothek zu Berlin,2016,Berlin State Library,grid.461943.d
Wuerttembergische Landesbibliothek WLB Stuttgart,2016,State Library of Wuerttemberg,grid.461830.8
Uni Bayreuth,2017,University of Bayreuth,grid.7384.8
Charité – Universitaetsmedizin Berlin,2017,Charité,grid.6363.0
FU Berlin,2017,Freie Universit?t Berlin,grid.14095.39
HU Berlin,2017,Humboldt University of Berlin,grid.7468.d
TU Berlin,2017,Technical University of Berlin,grid.6734.6
Uni Bochum,2017,Ruhr University Bochum,grid.5570.7
Uni Bremen,2017,University of Bremen,grid.7704.4
TU Darmstadt,2017,Technical University of Darmstadt,grid.6546.1
Uni Frankfurt a.M.,2017,Goethe University Frankfurt,grid.7839.5
Uni Freiburg,2017,University of Freiburg,grid.5963.9
